,x,y,z
0,0.0,0.0,-3.0486342906951904
1,0.0,0.0,-2.5199482440948486
2,0.0,0.0,-2.426766872406006
3,0.0,0.0,-2.426553964614868
4,0.0,0.0,-2.426391124725342
5,0.0,0.0,-2.4262304306030273
6,0.9906072616577148,14.85865306854248,-7.162889003753662
7,0.9933486580848694,14.899773597717285,-7.1631574630737305
8,0.9957149624824524,14.93526840209961,-7.16330623626709
9,0.9977198243141174,14.96534252166748,-7.163373947143555
10,1.0003604888916016,15.004950523376465,-7.163385391235352
11,1.002317190170288,15.0343017578125,-7.163340091705322
12,1.0045750141143799,15.068169593811035,-7.163232803344727
13,1.00680673122406,15.101646423339844,-7.163071155548096
14,-0.35642245411872864,60.06298065185547,-7.337157726287842
15,-0.3944768011569977,60.51540756225586,-7.264659881591797
16,-0.42778587341308594,60.911067962646484,-7.198023319244385
17,-0.4609796106815338,61.30598068237305,-7.127592086791992
18,-5.480119228363037,86.39358520507812,-11.158745765686035
19,-5.488523960113525,86.41846466064453,-11.15881633758545
20,-5.496858596801758,86.44319152832031,-11.158875465393066
21,-5.505125999450684,86.4677734375,-11.158924102783203
22,-5.513323783874512,86.49221801757812,-11.158961296081543
23,-5.521452903747559,86.51651763916016,-11.158989906311035
24,-5.529513835906982,86.54069519042969,-11.159008979797363
25,-8.8695707321167,102.80595397949219,-15.692876815795898
26,-8.85781478881836,102.83515167236328,-15.693977355957031
27,-8.84853744506836,102.85762023925781,-15.694787979125977
28,-8.839144706726074,102.8799057006836,-15.695560455322266
29,-8.82964038848877,102.90201568603516,-15.696297645568848
30,-8.820030212402344,102.9239501953125,-15.697001457214355
31,-4.24591064453125,116.67150115966797,-12.618147850036621
32,-4.246065139770508,116.7072982788086,-12.618021965026855
33,-4.24616813659668,116.73116302490234,-12.617938041687012
34,-4.284997940063477,125.7281723022461,-8.401347160339355
35,-4.28511381149292,125.75502014160156,-8.400388717651367
36,-4.28520393371582,125.7759017944336,-8.39966106414795
37,-4.285294055938721,125.79678344726562,-8.398948669433594
38,-4.285397052764893,125.82064819335938,-8.398152351379395
39,-4.2854743003845215,125.83854675292969,-8.397567749023438
40,-4.285564422607422,125.85942840576172,-8.39689826965332
41,-3.1402320861816406,132.67579650878906,-7.390206336975098
42,-3.1390624046325684,132.7027130126953,-7.390135765075684
43,-3.138310432434082,132.7206573486328,-7.390087127685547
44,-3.137460231781006,132.74159240722656,-7.390030384063721
45,-3.1365232467651367,132.76551818847656,-7.389965534210205
46,-3.1358439922332764,132.78346252441406,-7.389916896820068
47,-3.069467544555664,139.71414184570312,-7.777681827545166
48,-3.0695395469665527,139.7430419921875,-7.778771877288818
49,-3.069596290588379,139.76547241210938,-7.779596328735352
50,-3.069646120071411,139.78465270996094,-7.780285358428955
51,-3.069704532623291,139.80697631835938,-7.781070232391357
52,-3.0697643756866455,139.8292999267578,-7.781835079193115
53,-3.086312770843506,144.09481811523438,-8.414915084838867
54,-3.086442232131958,144.1263427734375,-8.41596794128418
55,-3.0865540504455566,144.15370178222656,-8.416849136352539
56,-3.0866658687591553,144.18087768554688,-8.417694091796875
57,-3.0867602825164795,144.20401000976562,-8.418392181396484
58,-3.0868704319000244,144.2308349609375,-8.419175148010254
59,-3.126781463623047,153.8670654296875,-10.370809555053711
60,-3.1269171237945557,153.89984130859375,-10.370015144348145
61,-3.127035140991211,153.92825317382812,-10.369314193725586
62,-3.1271519660949707,153.95645141601562,-10.368608474731445
63,-3.127267837524414,153.9844207763672,-10.367900848388672
64,-3.12738299369812,154.01217651367188,-10.367193222045898
65,-3.1274807453155518,154.03579711914062,-10.366586685180664
66,-3.127594232559204,154.06317138671875,-10.36587905883789
67,-3.179381847381592,166.55825805664062,-10.181235313415527
68,-3.179471969604492,166.5801544189453,-10.159686088562012
69,-3.1795620918273926,166.60194396972656,-10.138147354125977
70,-3.179652214050293,166.6237335205078,-10.116620063781738
71,-3.1797423362731934,166.64552307128906,-10.095102310180664
72,-3.1798324584960938,166.6672821044922,-10.07359504699707
73,-3.179922580718994,166.68896484375,-10.052096366882324
74,-3.1800127029418945,166.7106475830078,-10.030609130859375
75,-3.180102825164795,166.73233032226562,-10.009130477905273
76,-3.1801929473876953,166.75401306152344,-9.987661361694336
77,-3.2109158039093018,174.15818786621094,-6.5892510414123535
78,-3.2110273838043213,174.18496704101562,-6.589401721954346
79,-3.2111141681671143,174.20579528808594,-6.589513778686523
80,-3.2112009525299072,174.22662353515625,-6.5896220207214355
81,-3.2112877368927,174.24745178222656,-6.589726448059082
82,-3.211374521255493,174.26828002929688,-6.589827060699463
83,-3.211461305618286,174.2891082763672,-6.589923858642578
84,-3.211535692214966,174.3069610595703,-6.590003967285156
85,-3.211622476577759,174.32778930664062,-6.590094089508057
86,-3.2579033374786377,185.44642639160156,0.5730960369110107
87,-3.2579033374786377,185.44642639160156,0.5730960369110107
88,-3.2579033374786377,185.44642639160156,0.5730960369110107
89,-3.2579033374786377,185.44642639160156,0.5730960369110107
90,-3.2579033374786377,185.44642639160156,0.5730960369110107
91,-3.2579033374786377,185.44642639160156,0.5730960369110107
92,-3.2579033374786377,185.44642639160156,0.5730960369110107
93,-3.2579033374786377,185.44642639160156,0.5730960369110107
