,x,y,z
0,0.0,0.0,-3.0552449226379395
1,0.0,0.0,-2.841416120529175
2,0.0,0.0,-2.8412892818450928
3,0.0,0.0,-2.841216802597046
4,0.0,0.0,-2.841153383255005
5,0.0,0.0,-2.8410990238189697
6,0.0,0.0,-7.501314163208008
7,0.0,0.0,-7.525251388549805
8,0.0,0.0,-7.546196460723877
9,0.0,0.0,-7.567141532897949
10,0.0,0.0,-7.588086128234863
11,0.0,0.0,-7.606036186218262
12,0.0,0.0,-7.626977920532227
13,0.0,0.0,-7.647919654846191
14,0.0,0.0,-7.668861389160156
15,0.0,0.0,-7.686811447143555
16,0.0,0.0,-13.236504554748535
17,0.0,0.0,-13.260422706604004
18,0.0,0.0,-13.281351089477539
19,0.0,0.0,-13.302279472351074
20,0.0,0.0,-13.32320785522461
21,0.0,0.0,-13.344136238098145
22,0.0,0.0,-13.362074851989746
23,0.0,0.0,-15.015514373779297
24,0.0,0.0,-15.013856887817383
25,0.0,0.0,-15.012236595153809
26,0.0,0.0,-15.010651588439941
27,0.0,0.0,-15.009100914001465
28,-19.3317813873291,-3.2416080557595706e-06,-19.12218475341797
29,-19.5550537109375,-3.280103555880487e-06,-19.16522979736328
30,-19.746082305908203,-3.313049774078536e-06,-19.205337524414062
31,-19.93304443359375,-3.3452949992351932e-06,-19.247671127319336
32,-20.115928649902344,-3.3768289995350642e-06,-19.292171478271484
33,-20.29472541809082,-3.40764222528378e-06,-19.338788986206055
34,-29.26981544494629,-4.402232661959715e-06,-22.65708351135254
35,-29.293628692626953,-4.404051651363261e-06,-22.65702247619629
36,-29.314470291137695,-4.405694198794663e-06,-22.65696907043457
37,-29.335311889648438,-4.407381311466452e-06,-22.65691566467285
38,-29.35615348815918,-4.409112079883926e-06,-22.656862258911133
39,-29.376995086669922,-4.410883775562979e-06,-22.656808853149414
40,-36.29945373535156,-4.795616860064911e-06,-22.635189056396484
41,-36.320335388183594,-4.793960215465631e-06,-22.635122299194336
42,-36.344200134277344,-4.791678293258883e-06,-22.635046005249023
43,-36.362098693847656,-4.789723334397422e-06,-22.63498878479004
44,-36.38298034667969,-4.787217676494038e-06,-22.63492202758789
45,-36.40386199951172,-4.7845069275354035e-06,-22.634855270385742
46,-36.42474365234375,-4.781632014783099e-06,-22.634788513183594
47,-46.35247802734375,-5.875308033864712e-06,-22.603050231933594
48,-46.3763427734375,-5.874196631339146e-06,-22.60297393798828
49,-46.39722442626953,-5.873354439245304e-06,-22.602907180786133
50,-46.41810607910156,-5.872628662473289e-06,-22.602840423583984
51,-46.438987731933594,-5.87200838708668e-06,-22.602773666381836
52,-46.459869384765625,-5.871486791875213e-06,-22.602706909179688
53,-54.82744598388672,-6.446266070270212e-06,-22.575956344604492
54,-54.857276916503906,-6.4510682022955734e-06,-22.57586097717285
55,-54.87815856933594,-6.454335562011693e-06,-22.575794219970703
56,-54.89904022216797,-6.457506515289424e-06,-22.575727462768555
57,-54.919921875,-6.4605642364767846e-06,-22.575660705566406
58,-61.068077087402344,-6.819133432145463e-06,-22.556005477905273
59,-61.091941833496094,-6.823070179962087e-06,-22.55592918395996
60,-61.112823486328125,-6.826492153777508e-06,-22.555862426757812
61,-61.133705139160156,-6.8298950282041915e-06,-22.555795669555664
62,-61.15458679199219,-6.8332756200106815e-06,-22.555728912353516
63,-61.17546844482422,-6.836633019702276e-06,-22.555662155151367
64,-61.19635009765625,-6.839965863036923e-06,-22.55559539794922
65,-61.21723175048828,-6.843274604761973e-06,-22.55552864074707
66,-66.07669067382812,-7.406329586956417e-06,-22.539993286132812
67,-66.10055541992188,-7.411374554067152e-06,-22.5399169921875
68,-66.1214370727539,-7.415798336296575e-06,-22.53985023498535
69,-66.14231872558594,-7.420229394483613e-06,-22.539783477783203
70,-66.16320037841797,-7.424667728628265e-06,-22.539716720581055
71,-66.18408203125,-7.429111974488478e-06,-22.539649963378906
72,-66.20198059082031,-7.432925485773012e-06,-22.539592742919922
73,-66.22286224365234,-7.437378371832892e-06,-22.539525985717773
74,-68.42877197265625,-7.801121682859957e-06,-19.974681854248047
75,-68.45053100585938,-7.80350819695741e-06,-19.974720001220703
76,-68.46942138671875,-7.805399036442395e-06,-19.97492218017578
77,-68.48812866210938,-7.807102520018816e-06,-19.975290298461914
78,-68.50398254394531,-7.808409463905264e-06,-19.975740432739258
79,-68.52224731445312,-7.809754606569186e-06,-19.976411819458008
80,-70.89273834228516,-8.135958523780573e-06,-20.007658004760742
81,-70.90943145751953,-8.140875252138358e-06,-20.00918197631836
82,-70.921630859375,-8.144475032167975e-06,-20.01029396057129
83,-70.93551635742188,-8.14857685327297e-06,-20.011554718017578
84,-70.9490737915039,-8.15257226349786e-06,-20.012773513793945
85,-70.96040344238281,-8.155909199558664e-06,-20.01378059387207
86,-70.97327423095703,-8.159699063980952e-06,-20.014917373657227
87,-71.43910217285156,-7.966229532030411e-06,-15.149434089660645
88,-71.43910217285156,-7.965094482642598e-06,-15.124593734741211
89,-71.43910217285156,-7.964075848576613e-06,-15.102875709533691
90,-71.43910217285156,-7.963029929669574e-06,-15.081171989440918
91,-71.43910217285156,-7.961953087942675e-06,-15.05948257446289
92,-71.43910217285156,-7.96084259491181e-06,-15.03780746459961
93,-71.43910217285156,-7.959695722092874e-06,-15.016146659851074
94,-71.43910217285156,-7.958510650496464e-06,-14.994499206542969
95,-71.43910217285156,-7.5315629146643914e-06,-14.097331047058105
96,-71.43910217285156,-7.528611149609787e-06,-14.09668254852295
97,-71.43910217285156,-7.526024091930594e-06,-14.095660209655762
98,-71.43910217285156,-7.523440672230208e-06,-14.094382286071777
