,x,y,z
0,0.0,0.0,-3.056184768676758
1,0.0,0.0,-3.267367362976074
2,0.0,0.0,-3.2957472801208496
3,0.0,0.0,-3.31779146194458
4,0.0,0.0,-3.339810848236084
5,0.0,0.0,-3.3618056774139404
6,0.0,0.0,-3.383777141571045
7,0.0,0.0,-3.4025912284851074
8,0.0,0.0,-4.715664863586426
9,0.0,0.0,-4.739869117736816
10,0.0,0.0,-4.761041641235352
11,0.0,0.0,-4.779184818267822
12,0.0,0.0,-4.800347328186035
13,0.0,0.0,-9.782125473022461
14,0.0,0.0,-9.90341854095459
15,0.0,0.0,-10.011093139648438
16,0.0,0.0,-10.120162963867188
17,0.0,0.0,-10.230588912963867
18,0.0,0.0,-10.326289176940918
19,0.0,0.0,-23.15864372253418
20,0.0,0.0,-23.327714920043945
21,0.0,0.0,-23.475690841674805
22,0.0,0.0,-23.602558135986328
23,0.0,0.0,-23.75060272216797
24,0.0,0.0,-23.898683547973633
25,0.0,0.0,-37.95851135253906
26,0.0,0.0,-38.1072998046875
27,0.0,0.0,-38.27734375
28,0.0,0.0,-38.42613220214844
29,0.0,0.0,-38.59617614746094
30,0.0,0.0,-38.76622009277344
31,0.0,0.0,-38.915008544921875
32,17.036903381347656,7.628985088103946e-08,-46.538291931152344
33,17.350215911865234,7.943490487605231e-08,-46.55242156982422
34,17.623836517333984,8.216355951162768e-08,-46.55998611450195
35,17.89716148376465,8.489062253147495e-08,-46.56351089477539
36,18.170347213745117,8.763485226381817e-08,-46.56342697143555
37,18.404464721679688,9.001298906241573e-08,-46.56079864501953
38,18.677587509155273,9.282923230102824e-08,-46.555076599121094
39,31.87867546081543,4.345140212080878e-07,-49.83485412597656
40,31.940088272094727,4.370112378637714e-07,-49.8515510559082
41,32.00041961669922,4.394749453240365e-07,-49.8673095703125
42,32.0596923828125,4.4190721837367164e-07,-49.882179260253906
43,32.117923736572266,4.4431024548430287e-07,-49.896202087402344
44,32.175132751464844,4.4668621512755635e-07,-49.909427642822266
45,32.22337341308594,4.4870284909848124e-07,-49.920162200927734
46,32.278743743896484,4.510343103447667e-07,-49.93201446533203
47,32.333152770996094,4.53345023743168e-07,-49.94318389892578
48,52.02699279785156,1.8940954760182649e-06,-54.41672897338867
49,52.3292236328125,1.9185863493476063e-06,-54.402400970458984
50,52.5931510925293,1.9400790733925533e-06,-54.38908004760742
51,52.8187141418457,1.9585950212785974e-06,-54.37958908081055
52,53.080753326416016,1.9802776023425395e-06,-54.371315002441406
53,53.341217041015625,2.0020011106680613e-06,-54.3661003112793
54,75.93746185302734,-9.943159103393555,-61.97673797607422
55,76.1189193725586,-10.109838485717773,-62.009765625
56,76.25723266601562,-10.236885070800781,-62.038211822509766
