ID,Answer1,Answer2
0,Pink.,It is located on the left side of the road ahead.
1,The building on the left is pink.,The pink building is located on the left side of the road ahead.
2,The building on the left is pink.,It is located to the left of the road ahead.
3,The building on the left is pink.,The brown building is located on the left side of the road ahead.
4,The building on the left is lpink.,The light brown building is located to the left of the road ahead.
5,The building on the left is pink.,The brown building on the left is located along the left side of the road ahead.
6,The building on the left is blue.,The building is located to the left side of the road ahead.
7,The building on the left is blue.,The light blue building is located on the left side of the road ahead.
8,The building on the left is blue.,It is located on the left side of the road ahead.
9,The building on the left is blue.,The pink and white building is located on the left side of the road ahead.
10,The building on the left is blue.,The pink building with white accents is located on the left side of the road ahead.
11,The building on the left is blue.,The building on the left is located to the left of the road ahead.
12,The building on the left is blue.,"It is located at the corner, on the left side of the road ahead."
13,The building on the left is blue.,The building on the left is located across the road ahead to the left.
14,The building on the left is blue.,The white building is located on the left side of the road ahead.
15,The building on the left is blue.,The building is located across the road ahead to the left.
16,No building.,No building.
17,No building.,No building.
18,The building on the left is blue.,It is located on the left side of the road ahead.
19,The building on the left is blue.,The building on the left is located to the left of the road ahead.
20,The building on the left is blue.,The building is located to the left side of the road ahead.
21,The building on the left is blue.,The white building is located to the left of the road ahead.
22,The building on the left is black.,The building on the left is located at the left corner of the intersection relative to the road ahead.
23,The building on the left is blue.,The building on the left is located at the corner to the left of the road ahead.
24,The building on the left is blue.,The building on the left is located to the left side of the road ahead.
25,The building on the left is blue.,It is located on the left side of the road ahead.
26,The building on the left is gray.,The building on the left is located on the left side of the road ahead.
27,The building on the left is gray.,The building is located to the left side of the road ahead.
28,The building on the left is gray.,The building on the left is located on the left side of the road ahead.
29,The building on the left is gray.,The building on the left is located adjacent to the left side of the road ahead.
30,The building on the left is blue.,The building on the left is located to the left side of the road ahead.
31,The building on the left is blue.,The building on the left is located on the left side of the road ahead.
32,The building on the left is blue.,The building on the left is located to the left of the road ahead.
33,The building on the left is blue.,The building on the left is located immediately on the left side of the road ahead.
34,The building on the left is blue.,It is located to the left of the road ahead.
35,The building on the left is blue.,The building is located to the left of the road ahead.
36,The building on the left is blue.,The building on the left is located to the left of the road ahead.
37,The building on the left is blue.,The building on the left is located behind the road ahead.
38,The building on the left is blue.,The blue building on the left is located to the left of the road ahead.
39,The building on the left is blue.,The blue building on the left is located across the road to the left side.
40,The building on the left is primarily blue.,The building on the left is located to the left of the road ahead.
41,The building on the left is blue.,The building is located on the left side of the road ahead.
42,The building on the left is beige with blue glass windows.,The building on the left is located to the left of the road ahead.
43,The building on the left is beige with blue glass windows.,The building on the left is located adjacent to the road ahead on the left side.
44,The building on the left is beige with blue glass windows.,The building on the left is located to the left side of the road ahead.
45,The building on the left is blue.,The building on the left is located to the left of the road ahead.
46,The building on the left is blue.,It is located to the left of the road ahead.
47,The building on the left is beige with blue glass windows.,The building on the left is located to the left of the road ahead.
48,The building on the left is beige with blue glass windows.,To the left of the road ahead.
49,The building on the left is beige with blue glass windows.,Left side.
50,The building on the left is beige with blue glass windows.,The blue building is located to the left of the road ahead.
51,Brown,Left side.
52,The building on the left is beige with blue glass windows.,It is located behind the road ahead.
53,The building on the left is beige with blue glass windows.,Left side.
54,The building on the left is beige with blue glass windows.,It is located across the road ahead.
55,Brown,The blue building on the left is located across the road ahead.
56,The building on the left is blue.,The building on the left is located to the left of the road ahead.
57,Brown,The building on the left is located across the road ahead.
58,The building on the left is blue.,The gray building on the left is located to the left of the road ahead.
59,The building on the left is blue.,The building on the left is located to the left of the road ahead.
60,The building on the left is blue.,"The gray building on the left is located adjacent to the road, parallel to it."
61,The building on the left is blue.,The gray building on the left is located to the right of the road ahead.
62,The building on the left is blue.,The building on the left (black) is located to the left of the road ahead.
63,The building on the left is blue.,The black building is located to the left of the road ahead.
64,The building on the left is blue.,The beige building is located on the left side of the road ahead.
65,The building on the left is blue.,The blue building is located on the left side of the road ahead.
66,The building on the left is blue.,The black building is located to the left of the road ahead.
67,The building on the left is blue.,"The blue building is located beyond the road ahead, slightly to the right."
68,The building on the left is dark blue.,The building on the left is located adjacent to the road ahead on the left side.
69,The building on the left is blue.,It is located on the left side of the road ahead.
70,The building on the left is blue.,It is located on the left side of the road ahead.
71,The building on the left is blue.,The building on the left is located to the left of the road ahead.
72,The building on the left is dark blue.,To the left of the road ahead.
73,The building on the left is blue.,The building on the left is located to the left side of the road ahead.
74,The building on the left is blue.,"The building on the left is located across the road ahead, directly to the left side of the road."
75,The building on the left is blue.,The blue building on the left is located to the left of the road ahead.
76,The building on the left is blue.,The building on the left is located to the left of the road ahead.
77,The building on the left is blue.,It is to the left of the road ahead.
78,The building on the left is blue.,The building on the left is located across the road ahead.
